Date  :Open  :High  :Low  :Close     Closing price adjusted for splits. :Adj Close     Adjusted closing price adjusted for splits and dividend and/or capital gain distributions. :Volume  
26 June 2023:47.94:50.41:47.62:49.06:49.06:1,834,500
23 June 2023:49.37:50.31:48.47:48.66:48.66:6,299,100
22 June 2023:46.74:49.66:46.46:49.62:49.62:3,006,700
21 June 2023:48.44:48.60:46.26:46.78:46.78:4,598,900
20 June 2023:50.18:50.75:48.37:49.56:49.56:3,046,700
16 June 2023:53.60:53.79:50.58:51.24:51.24:3,011,700
15 June 2023:49.55:53.65:49.50:53.44:53.44:3,496,200
14 June 2023:50.22:52.38:49.44:50.81:50.81:4,349,100
13 June 2023:49.50:50.95:48.55:50.68:50.68:2,785,700
12 June 2023:47.51:49.18:46.94:49.11:49.11:2,295,000
9 June 2023:46.61:48.73:46.21:47.18:47.18:3,197,600
8 June 2023:46.43:48.20:45.30:45.86:45.86:4,344,600
7 June 2023:46.76:49.78:46.05:47.08:47.08:6,777,000
6 June 2023:45.44:47.10:42.06:46.44:46.44:20,073,100
5 June 2023:34.00:35.68:33.09:35.40:35.40:8,063,200
2 June 2023:36.50:36.71:33.55:33.73:33.73:4,343,400
1 June 2023:36.09:36.75:35.77:35.94:35.94:2,274,600
31 May 2023:35.25:37.40:35.20:36.96:36.96:3,177,600
30 May 2023:35.94:36.38:34.62:35.75:35.75:2,173,100
26 May 2023:33.21:35.33:33.06:34.65:34.65:2,288,000
25 May 2023:34.62:35.22:32.65:32.99:32.99:2,006,000
24 May 2023:33.76:34.46:33.50:34.17:34.17:1,211,100
23 May 2023:34.56:35.54:33.95:34.05:34.05:1,362,200
22 May 2023:32.85:35.51:32.67:34.62:34.62:3,016,300
19 May 2023:32.09:33.55:31.78:32.67:32.67:2,454,100
18 May 2023:31.75:32.64:31.56:32.55:32.55:1,253,800
17 May 2023:30.40:31.99:30.10:31.81:31.81:1,373,500
